product_name,custom_code,material_type,material_finish,eb_brand,panel_type,thickness_band_mm,edge_band_code,price_per_running_meter
WW001,TK-19,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WW001,TK-19,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WW001,TK-19,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WW001,TK-19,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WW001,TK-19,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WW001,TK-19,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
WW002,TK-20,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WW002,TK-20,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WW002,TK-20,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WW002,TK-20,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WW002,TK-20,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WW002,TK-20,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
WW003,TK-10,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WW003,TK-10,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WW003,TK-10,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WW003,TK-10,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WW003,TK-10,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WW003,TK-10,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
WW005,FM-1727,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WW005,FM-1727,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WW005,FM-1727,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WW005,FM-1727,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WW005,FM-1727,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WW005,FM-1727,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
WW006,TK-17,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WW006,TK-17,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WW006,TK-17,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WW006,TK-17,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WW006,TK-17,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WW006,TK-17,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
BS002,CRY-1249 MT,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
GS002,9608 RS,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
GS002,9608 RS,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
GS002,9608 RS,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
GS002,9608 RS,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
GS002,9608 RS,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
GS002,9608 RS,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
FS001,MBS-106,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FS001,MBS-106,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FS001,MBS-106,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FS001,MBS-106,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FS001,MBS-106,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FS001,MBS-106,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
FS002,MBS-107,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FS002,MBS-107,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FS002,MBS-107,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FS002,MBS-107,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FS002,MBS-107,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FS002,MBS-107,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
FS003,MBS-108,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FS003,MBS-108,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FS003,MBS-108,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FS003,MBS-108,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FS003,MBS-108,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FS003,MBS-108,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
FS004,MBS-103,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FS004,MBS-103,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FS004,MBS-103,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FS004,MBS-103,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FS004,MBS-103,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FS004,MBS-103,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
CS001,STN-204,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
CS001,STN-204,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
CS001,STN-204,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
CS001,STN-204,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
CS001,STN-204,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
CS001,STN-204,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
CS002,STN-217,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
CS002,STN-217,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
CS002,STN-217,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
CS002,STN-217,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
CS002,STN-217,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
CS002,STN-217,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
CS003,STN-226,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
CS003,STN-226,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
CS003,STN-226,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
CS003,STN-226,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
CS003,STN-226,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
CS003,STN-226,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
CS004,STN-219,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
CS004,STN-219,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
CS004,STN-219,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
CS004,STN-219,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
CS004,STN-219,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
CS004,STN-219,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
BS001,5571 HDG,Laminate,Glossy,Rehau,Carcass,upto_18.5,23_1p3,28.54
BS001,5571 HDG,Laminate,Glossy,Rehau,Shutter,upto_18.5,23_1p3,28.54
GS001,5572 HDG,Laminate,Glossy,Rehau,Carcass,upto_18.5,23_1p3,28.54
GS001,5572 HDG,Laminate,Glossy,Rehau,Shutter,upto_18.5,23_1p3,28.54
WS001,PU-425,Laminate,Glossy,Rehau,Carcass,upto_18.5,23_1p3,28.54
WS001,PU-425,Laminate,Glossy,Rehau,Shutter,upto_18.5,23_1p3,28.54
WS002,MBS-118,Laminate,Glossy,Rehau,Carcass,upto_18.5,23_1p3,28.54
WS002,MBS-118,Laminate,Glossy,Rehau,Shutter,upto_18.5,23_1p3,28.54
BS003,9612 PU,Laminate,Glossy,Rehau,Carcass,upto_18.5,23_1p3,32.03
BS003,9612 PU,Laminate,Glossy,Rehau,Shutter,upto_18.5,23_1p3,32.03
LP001,21028 NL,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
LP001,21028 NL,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
LP001,21028 NL,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
LP001,21028 NL,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
LP001,21028 NL,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
LP001,21028 NL,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
LP002,21066 NL,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
LP002,21066 NL,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
LP002,21066 NL,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
LP002,21066 NL,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
LP002,21066 NL,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
LP002,21066 NL,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
LP003,FWN-930,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,12.73
LP003,FWN-930,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,19.16
LP003,FWN-930,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,41.34
LP003,FWN-930,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,226.0
LP003,FWN-930,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,30.95
LP003,FWN-930,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,64.62
LP004,FWN-948,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.19
LP004,FWN-948,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,12.53
LP004,FWN-948,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,27.03
LP004,FWN-948,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,19.65
LP004,FWN-948,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,24.57
LP004,FWN-948,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,44.22
FSP002,21091 VL,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FSP002,21091 VL,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FSP002,21091 VL,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FSP002,21091 VL,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FSP002,21091 VL,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FSP002,21091 VL,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
FSP003,22099 VL,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,9.71
FSP003,22099 VL,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,13.24
FSP003,22099 VL,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,28.56
FSP003,22099 VL,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,20.76
FSP003,22099 VL,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,25.96
FSP003,22099 VL,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,46.73
WP001,5377 SAT,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WP001,5377 SAT,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WP001,5377 SAT,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WP001,5377 SAT,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WP001,5377 SAT,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WP001,5377 SAT,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
WP002,5378 SAT,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
WP002,5378 SAT,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
WP002,5378 SAT,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
WP002,5378 SAT,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
WP002,5378 SAT,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
WP002,5378 SAT,Laminate,Matt,Rehau,Shutter,26.5_to_41.5,45_2p0,68.28
FP002,CV-532,Laminate,Matt,Rehau,Carcass,upto_18.5,22_0p8,13.45
FP002,CV-532,Laminate,Matt,Rehau,Carcass,18.5_to_26.5,30_0p8,20.25
FP002,CV-532,Laminate,Matt,Rehau,Carcass,26.5_to_41.5,45_0p8,43.68
FP002,CV-532,Laminate,Matt,Rehau,Shutter,upto_18.5,22_2p0,23.88
FP002,CV-532,Laminate,Matt,Rehau,Shutter,18.5_to_26.5,30_2p0,32.7
