Product serial number,Product name (editable),Custom code (editable),Description (editable),Material Brand Name,Surface Type,Inventory Type,"Material Type
MTY

#mid(0,3)","Material Finish Category
MFC

#mid(5,3)",Grain,"Material Thk 
(In mm)
MTH

#mid(13,6)","Material Square 
Foot Cost 
(Per Sq.Ft)
MSC
#mid(20,6)","Material Glue Cost 
(Per Sq.Ft)
MGC
#mid(27,6)",Material Cost,"Material Size 
(Length in Feet)","Material Size 
(Width in Feet)",EB Article Code,EB Internal Code,EB Brand Name,EB Description,"Edgeband Glue Cost
(Per Running Meter)
EGC","Edge Band
22_0p8","Edge Band
22_1p0","Edge Band
22_2p0","Edge Band
23_1p3","Edge Band
25_1p3","Edge Band
30_0p8","Edge Band
30_2p0","Edge Band
45_0p8","Edge Band
45_2p0",Purchase Cost Validation,Purchase Cost Validate by,Validation Completaion Date,Remark ,,,"Edgeband Glue Cost
(Per Running Meter)
EGC
#mid(0,6)","Edge Band
22_0p8

#mid(8,6)","Edge Band
22_1p0

#mid(15,6)","Edge Band
22_2p0

#mid(22,6)","Edge Band
23_1p0

#mid(29,6)","Edge Band
23_1p3

#mid(36,6)","Edge Band
25_1p3

#mid(43,6)","Edge Band
30_0p8

#mid(50,6)","Edge Band
30_2p0

#mid(57,6)","Edge Band
45_0p8

#mid(64,6)","Edge Band
45_2p0

#mid(71,6)"
3FO3GKECN5FS,GOW002,TK-04,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,111P,EBGOW002,Rehau, 111P URBAN TEAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE3MHXE,GOW003,TK-33,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,971P,EBGOW003,Rehau, 971P BROWN OAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKEFAPGH,GOW004,PO-954,PO,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,277P,EBGOW004,Rehau,277P THAI TEAK - III,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE3K7OP,MW001,TK-29,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,475P,EBMW001,Rehau,475P AMAZON WALNUT,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE9T6E7,MW002,PO-964,PO,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,365P,EBMW002,Rehau, 365P DAMRO M31,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKB2B3HF,WW001,TK-19,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,165P,EBWW001,Rehau,165P ASIAN OAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKE3NQER,WW002,TK-20,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,227P,EBWW002,Rehau,227P AMAZON WALNUT,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKDWBCC9,WW003,TK-10,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,227P,EBWW003,Rehau,227P AMMAZON WALNUT,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKAQXTA3,WW005,FM-1727,FM,ROYAL TOUCHE,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1.25,62.1,4.2,1987,8,4,401P,EBWW005,Rehau, 401P COUNTRY OAK,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,21-07-2026,1930,Local ,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
3FO3GKECOUMB,WW006,TK-17,TK,SS,Wooden Finish,Inventory,Laminate,Matt,VertGrain,1,36.5,4.2,1169,8,4,539P,EBWW006,Rehau, 539P NDOUSSIE,6.75,13.45,0,23.88,0,0,20.25,32.7,43.68,68.28,Done,Sindhu,27-07-2026,1150,,,,12.73,,22.6,,,,19.16,30.95,27.03,64.62
